CustomerID,Title,FirstInitial,Surname,Age,Location,OccupationType,Industry,YearsInCurrentEmployment,NumPreviousEmployments,TotalIncome,TaxableIncome,TaxPaid,EffectiveTaxRate,UnionSubs,Fraud
28,Ms.,A,Dickson,56,Dublin,Self-Employed,Professional,25.71,3,54621.89,53958.42,15234.95,0.278916566,No,No
29,Mrs.,G,McCarthy,35,Dublin,Employed,Public Sector,8.05,3,75935.38,66317.29,20302.09,0.26736009,Yes,No
30,Mr.,F,Donaldson,24,Leinster (Other),Self-Employed,IT,2.64,6,57402.74,54882.36,15613.77,0.272003915,No,No
31,Ms.,D,Williamson,,Dublin,Self-Employed,Finance,2.62,11,35634.91,33636.35,6902.9,0.193711728,Yes,No
32,Mrs.,K,Moore,45,Leinster (Other),Employed,Public Sector,10.42,2,29348.21,28103.16,5620.63,0.191515258,Yes,No
33,Mrs.,L,McKay,36,Leinster (Other),Employed,Public Sector,8.22,2,43837.61,42378.08,10487.01,0.239224036,Yes,No
34,Mr.,K,Sutherland,22,Leinster (Other),Employed,Finance,1.15,4,52914.04,49286.53,13319.48,0.251719203,No,No
35,Mr.,E,Nicholls,38,Munster,Casual,Public Sector,7.6,2,31204.1,29176.89,5835.38,0.187006836,No,No
36,Mr.,J,Clark,,Leinster (Other),Employed,IT,,6,64499.81,59422.47,17475.21,0.270934286,No,No
37,Mrs.,J,Lowe,49,,Employed,Public Sector,17.61,2,72653.89,67858.99,20934.19,0.288135845,Yes,No
38,Mr.,G,Powell,25,Dublin,Employed,IT,2.45,1,43350.2,37725.56,8579.48,0.197910967,No,No
39,Mr.,A,Martin,32,Connacht,Self-Employed,Transport,2.09,8,29197.37,26356.64,5271.33,0.180541261,No,Yes
40,Mr.,E,Reed,53,Connacht,Employed,Public Sector,17.83,1,45881.87,39125.73,9153.55,0.199502549,No,No
41,Mrs.,M,Walker,58,,Self-Employed,Retail,32.34,3,63137.99,60960.78,18105.92,0.286767444,No,No
42,Mrs.,J,Moore,43,Dublin,Employed,Retail,17.58,2,100019.82,96192.09,32550.76,0.325443097,Yes,No
43,Mr.,M,Kerr,45,Leinster (Other),Employed,Transport,14.48,2,53863.57,49776.15,13520.22,0.251008613,Yes,No
44,Mr.,L,Weston,34,Munster,Employed,Public Sector,6.86,3,43681.81,38841.53,9037.03,0.20688314,Yes,No
45,Mr.,M,Ritchie,23,Dublin,Employed,IT,2.48,7,46876.19,43100.81,10783.33,0.230038533,,No
46,Mr.,H,Fry,,Connacht,Employed,Public Sector,6.38,2,35235.65,31148.19,6229.64,0.17679935,No,No
47,Ms.,E,Hill,26,Dublin,Employed,Agriculture,,8,74139.76,71132.18,22276.19,0.300462127,No,No
48,Mr.,J,Spencer,35,Munster,Self-Employed,Construction,3.08,4,38446.95,37123.25,8332.53,0.216727985,No,No
49,Mrs.,J,Collins,45,Munster,Employed,Public Sector,13.54,2,26618.7,23584.07,4716.81,0.177199112,Yes,No
50,Mrs.,C,Craig,,Leinster (Other),Employed,Public Sector,9.89,1,57017.92,52549.85,14657.44,0.257067252,Yes,No
51,Ms.,L,Stephens,31,Dublin,Employed,Transport,0.68,8,34700.59,32327.94,6465.59,0.186325074,No,No
52,Mr.,C,Parry,44,Munster,Employed,Transport,9.96,2,48758.91,44378.03,11306.99,0.231895873,,No
53,Mr.,M,Alexander,33,Leinster (Other),Employed,IT,4.61,4,70541.79,63101.66,18983.68,0.269112536,No,No
54,Mr.,A,Watson,26,Dublin,Self-Employed,Finance,4.12,6,57369.53,52661.82,14703.35,0.256291972,No,No
55,Mr.,S,Fox,45,Munster,Employed,Public Sector,13.75,3,33243.46,30066.34,6013.27,0.180885804,No,No
56,Mr.,F,Martin,45,Leinster (Other),Self-Employed,Agriculture,18.23,2,48353.34,46007.37,11975.02,0.247656522,No,Yes
57,Mr.,E,May,,Dublin,Self-Employed,Transport,0.91,6,27687.73,26490.17,5298.03,0.191349381,No,Yes
58,Mr.,M,Mitchell,33,Dublin,Employed,Construction,1.07,9,36402.66,33606.16,6890.53,0.189286442,No,Yes
59,Mrs.,E,Milne,36,Leinster (Other),Self-Employed,Finance,7.17,9,45099.32,43284.27,10858.55,0.240769706,No,Yes
60,Ms.,H,O'Donnell,28,Leinster (Other),Employed,Agriculture,2.88,2,58841.83,55930.94,16043.69,0.272657903,No,No
61,Mr.,S,Wilkinson,39,Munster,Self-Employed,Agriculture,16.51,2,22829.44,20532.47,4106.49,0.179876948,No,Yes
62,Mr.,E,Docherty,51,Leinster (Other),Self-Employed,Agriculture,20.73,2,16000.96,14860.33,2972.07,0.18574323,No,Yes
63,Mr.,E,Watson,36,Leinster (Other),Employed,Construction,4.16,11,42358.13,38175.22,8763.84,0.206898652,Yes,Yes
64,Ms.,F,Robertson,44,Leinster (Other),Employed,Public Sector,16.43,2,33555.07,31683.09,6336.62,0.188842401,Yes,No
65,Mrs.,J,Smith,47,Munster,Casual,Agriculture,4.65,7,39945.38,37562.48,8512.62,0.213106497,No,Yes
66,Mr.,O,Horton,44,Leinster (Other),Casual,Construction,24.27,2,36896.34,35690.19,7744.98,0.209911877,No,No
67,Ms.,D,Millar,33,Munster,Employed,Finance,6.03,9,50807.59,45799.1,11889.63,0.234012871,No,Yes
68,Ms.,A,Poole,41,Munster,Employed,Public Sector,10.66,3,22831.84,21795.9,4359.18,0.19092548,,No
69,Ms.,L,Moss,36,Dublin,Employed,Public Sector,7.24,2,64908.77,61147.45,18182.45,0.280123164,Yes,No
70,Mr.,L,Foster,40,,Employed,Public Sector,13.4,2,19817.1,17716.87,3543.37,0.178803659,Yes,No
71,Mrs.,H,Gibbs,41,Munster,Casual,Public Sector,10.29,2,42382.77,37360.16,8429.67,0.198893796,Yes,No
72,Mr.,C,Watson,36,Leinster (Other),Casual,Public Sector,9.97,3,29381.26,28126.08,5625.22,0.191456051,Yes,No
73,Mrs.,C,Lewis,60,Munster,Employed,Professional,22.58,2,61633.15,57400.04,16646.02,0.270082253,,No
74,Mr.,S,Bentley,27,Munster,Casual,Finance,2.82,3,28699.19,25725.13,5145.03,0.179274398,No,No
75,Mrs.,A,Ferguson,39,Connacht,Employed,Public Sector,7.95,2,37788.44,34099.6,7092.84,0.187698672,Yes,No
76,Ms.,K,Burns,23,Dublin,Casual,IT,1.39,6,25342.5,23260.33,4652.07,0.18356792,No,No
77,Mr.,B,Morris,37,Munster,Casual,Transport,1.82,9,36901.03,35899.77,7830.91,0.21221386,,No
78,Ms.,E,King,36,Munster,Employed,Public Sector,7.17,2,53615.6,47453.85,12568.08,0.23441088,Yes,No
79,Mr.,S,Henderson,54,Connacht,Self-Employed,Agriculture,22.5,2,35499.46,33642.6,6905.47,0.194523241,,Yes
80,Mr.,K,Wilson,39,Munster,Self-Employed,Agriculture,15.2,2,29532.25,26587.56,5317.51,0.180057733,No,Yes
81,Mr.,T,Martin,46,Munster,Employed,Public Sector,17.94,3,39642.67,36188.64,7949.34,0.200524839,No,No
82,Ms.,D,Hamilton,47,Leinster (Other),Employed,Retail,17.91,2,41459.87,38289.12,8810.54,0.212507661,Yes,No
83,Mrs.,K,Graham,22,Dublin,Casual,IT,1.08,4,37584.35,28988.64,5797.73,0.154259153,No,Yes
84,Mr.,B,Clark,38,Leinster (Other),Employed,Public Sector,9.41,2,37545.02,35201.14,7544.47,0.200944626,,No
85,Ms.,A,Murray,38,Leinster (Other),Self-Employed,Public Sector,8.05,3,49348.47,46232.45,12067.3,0.244532404,,No
86,Mr.,A,Munro,23,Leinster (Other),Employed,IT,2.6,0,38471.7,36247.14,7973.33,0.207251824,No,No
87,Mr.,S,Stephenson,50,Dublin,Self-Employed,Agriculture,19.44,3,48117.02,46835.56,12314.58,0.255929814,No,Yes
88,Mr.,M,Martin,24,Leinster (Other),Employed,IT,2.03,6,130035.13,122132.19,43186.2,0.332111792,No,No
89,Ms.,N,Briggs,43,,Casual,Public Sector,,2,62783.31,56965.06,16467.67,0.262293753,,No
90,Ms.,A,Allan,30,Leinster (Other),Casual,IT,3.57,6,64632.87,55188.66,15739.35,0.243519281,No,No
91,Ms.,E,Turner,32,Munster,Self-Employed,Public Sector,6.11,1,46976.35,41034.32,9936.07,0.211512176,Yes,No
92,Mr.,H,Fowler,49,Leinster (Other),Employed,Transport,23.28,2,25799.61,24429.59,4885.92,0.189379607,No,No
93,Mrs.,O,Russell,44,Dublin,Employed,Finance,6.86,8,44986.98,40432.01,9689.12,0.215376093,No,No
94,Mr.,M,King,39,Munster,Employed,Public Sector,,2,28991.27,25492.93,5098.59,0.17586639,Yes,No
95,Mr.,L,Gordon,42,Dublin,Employed,Public Sector,11.11,2,22778.08,20939.57,4187.91,0.183857024,Yes,No
96,Ms.,L,Browne,38,Munster,Employed,Construction,14.01,2,39208.62,34040.98,7068.8,0.180286886,Yes,No
97,Mrs.,L,Collier,45,Leinster (Other),Casual,Transport,1.76,7,26036.29,23340.33,4668.07,0.179290905,No,Yes
98,Mr.,E,Burgess,40,Leinster (Other),Employed,Public Sector,14.38,2,40467.15,35566.72,7694.36,0.190138421,,No
99,Ms.,J,Bibi,46,Dublin,Self-Employed,Transport,5.54,10,56292.58,52735.98,14733.75,0.261735206,Yes,No
100,Mr.,J,McLean,50,Dublin,Self-Employed,Professional,19.11,3,43567.39,39895.39,9469.11,0.217343981,No,No
101,Mr.,M,Craig,43,Connacht,Employed,Retail,11.11,2,29045.43,27297.93,5459.59,0.187967264,Yes,No
102,Ms.,M,Read,23,,Employed,Finance,1.08,7,52492.99,47061.17,12407.08,0.236356893,No,No
103,Mrs.,A,Anderson,42,Connacht,Employed,Public Sector,9.23,2,29627.74,28155.74,5631.15,0.190063434,Yes,No
104,Mr.,I,Hyde,46,Munster,Employed,Agriculture,17.79,2,36956.25,36451.99,8057.32,0.218023203,,No
105,Mr.,F,Johnston,48,Connacht,Self-Employed,Agriculture,17.64,2,50846.66,48884.39,13154.6,0.258711192,No,No
106,Ms.,M,Butler,48,Leinster (Other),Self-Employed,Agriculture,27.48,2,30039.93,29604.77,5920.95,0.197102656,No,No
107,Mr.,S,Quinn,41,Connacht,Self-Employed,Construction,13.88,2,14316.82,13696.85,2739.37,0.191339278,No,Yes
108,Mrs.,S,Douglas,41,Leinster (Other),Employed,Public Sector,14.8,2,38856.2,34862.76,7405.73,0.190593264,Yes,No
109,Mr.,C,Martin,35,,Self-Employed,Transport,1.73,5,32553.31,30910.14,6182.03,0.189904805,Yes,No
110,Mrs.,J,Freeman,28,Munster,Employed,IT,2.85,6,115194.05,101292.71,34642.01,0.300727425,No,No
111,Ms.,M,Hart,48,Dublin,Employed,Professional,19.33,2,94939.97,93429.98,31418.29,0.330927954,No,No
112,Mr.,L,Bartlett,32,Dublin,Self-Employed,Construction,1.5,8,22671.9,22584.19,4516.84,0.199226355,Yes,No
113,Ms.,J,Morrison,48,Munster,Employed,Public Sector,19.61,2,71672.32,68913.75,21366.64,0.298115646,Yes,No
114,Ms.,M,Smith,30,Munster,Self-Employed,Finance,0.69,10,34561.51,31408.46,6281.69,0.181753922,No,Yes
115,Ms.,F,Thomson,38,Munster,Employed,Public Sector,,2,33916.77,31910.1,6382.02,0.188167093,Yes,No
116,Mr.,M,Docherty,31,Dublin,Casual,Finance,5.97,8,28845.53,27712.3,5542.46,0.192142769,No,No
117,Mrs.,B,Gardiner,43,Munster,Employed,Public Sector,13.3,2,30454.15,27778.27,5555.65,0.182426697,Yes,No
118,Mrs.,S,Bryant,32,Dublin,Self-Employed,Agriculture,3.24,9,36051.19,31529.03,6305.81,0.174912673,,No
119,Mrs.,A,Dyer,42,Munster,Employed,Public Sector,11.89,2,34454,31032.25,6206.45,0.180137284,Yes,No
120,Ms.,B,Holt,37,Connacht,Self-Employed,Construction,1.24,10,94672.77,90479.01,30208.39,0.319082139,No,No
121,Mrs.,Y,Docherty,25,Munster,Employed,Finance,2.34,2,59263.38,54985.73,15656.15,0.264179161,No,No
122,Mrs.,A,Douglas,40,Leinster (Other),Employed,Public Sector,13.96,3,62025.14,56784.88,16393.8,0.264308956,Yes,No
123,Mr.,D,Page,39,Connacht,Employed,Public Sector,8.08,2,41718.55,38376.03,8846.17,0.212044043,No,No
124,Mrs.,A,Kaur,61,Dublin,Self-Employed,Professional,30.83,5,88772.6,85555.99,28189.96,0.317552488,No,No
125,Mr.,J,Howe,,Dublin,Self-Employed,Agriculture,1.78,3,19997.68,17223.06,3444.61,0.172250481,No,Yes
126,Mr.,B,Parsons,31,Leinster (Other),Employed,Finance,5.21,5,67956.14,60998.52,18121.39,0.266663027,No,No
127,Mrs.,C,Munro,31,Dublin,Employed,Construction,1.57,9,29966.65,27297.38,5459.48,0.182185196,No,Yes
128,Mr.,C,Miller,30,Dublin,Employed,Finance,3.44,3,38225.26,32730.55,6546.11,0.171250895,,Yes
129,Ms.,J,Benson,34,Leinster (Other),Employed,Agriculture,4.82,3,102598.9,91117.1,30470.01,0.296981839,No,No
130,Mr.,L,Douglas,44,Munster,Self-Employed,Agriculture,17.22,3,23361.43,22147.59,4429.52,0.189608256,No,Yes
131,Mr.,S,Taylor,38,Connacht,Self-Employed,Agriculture,14.44,2,35970.57,33746.01,6947.86,0.193154015,Yes,Yes
132,Ms.,E,Rees,35,Dublin,Casual,IT,7.4,5,73224.5,67487.78,20781.99,0.283811976,No,No
133,Ms.,E,Goodwin,61,Munster,Self-Employed,Professional,23.05,5,61940.26,57392.85,16643.07,0.268695514,No,No
134,Mr.,S,Reilly,43,Connacht,Self-Employed,Agriculture,,3,21057.28,20557.26,4111.45,0.195250764,No,No
135,Mr.,J,Kirby,34,Dublin,Self-Employed,Professional,0.79,7,31592.66,29740.11,5948.02,0.188272213,No,No
136,Mr.,C,Young,26,Dublin,Employed,IT,3.27,6,32522.97,30046.47,6009.29,0.184770641,No,No
137,Ms.,M,Douglas,,Munster,Employed,Public Sector,13.77,2,59119.4,51239.23,14120.08,0.238840042,No,No
138,Mr.,C,Rowley,32,,Employed,Agriculture,5.9,4,68474.84,66135.75,20227.66,0.295402808,No,No
139,Mr.,C,Mackenzie,44,Leinster (Other),Employed,Public Sector,10.84,2,46687.26,43753.38,11050.89,0.236700333,Yes,No
140,Mr.,R,West,40,Connacht,Self-Employed,Agriculture,20.43,2,44059.17,42829.68,10672.17,0.242223583,,No
141,Mrs.,L,Murray,45,Connacht,Self-Employed,Construction,3.72,9,28523.29,27870.41,5574.08,0.195422057,No,No
142,Mr.,J,Hughes,20,Dublin,Employed,Finance,,3,34307.71,32403.5,6480.7,0.18889923,No,No
143,Mr.,C,Simpson,47,Leinster (Other),Self-Employed,Agriculture,18.53,2,20985.6,20061.51,4012.3,0.191193009,No,No
144,Mr.,K,Martin,37,Leinster (Other),Employed,Public Sector,9.91,2,48134.54,43081.92,10775.59,0.223863986,No,No
145,Mr.,K,Williamson,50,Dublin,Employed,Professional,15.9,2,64434.71,55562.18,15892.49,0.24664486,No,Yes
146,Mr.,Z,Simpson,36,Munster,Employed,Public Sector,10.53,2,43028.86,38001.22,8692.5,0.202015577,Yes,No
147,Mr.,L,Reilly,37,Dublin,Casual,IT,6.16,2,57342.32,53952.16,15232.39,0.265639583,No,No
148,Mr.,S,Holmes,41,Munster,Self-Employed,Transport,1.45,7,41646.57,40424.12,9685.89,0.232573535,No,No
149,Mr.,H,Watkins,46,Leinster (Other),Self-Employed,Professional,15.83,2,44666.81,44501.02,11357.42,0.254269781,,No
150,Ms.,F,Ross,25,Dublin,Self-Employed,IT,1.38,4,37208.48,32912.01,6605.92,0.177538024,No,No
151,Ms.,A,Gough,43,Leinster (Other),Employed,Public Sector,16.02,2,71076.31,61571.93,18356.49,0.258264533,,No
152,Mr.,C,Johnstone,38,Dublin,Employed,Finance,8.11,7,77858.63,75347.06,24004.29,0.308306093,No,No
153,Ms.,S,Clark,40,Leinster (Other),Employed,Public Sector,10.67,2,35546.65,34115.86,7099.5,0.199723462,Yes,No
154,Ms.,B,Mitchell,21,Dublin,Employed,IT,0.72,6,35827.49,32272.04,6454.41,0.180152447,No,No
155,Mrs.,P,Ross,31,Dublin,Casual,Agriculture,4.16,3,162857.1,125383.59,44519.27,0.273364011,No,Yes
156,Mr.,C,McKay,46,Leinster (Other),Self-Employed,Professional,14.6,2,94526.05,92780.49,31152,0.329559947,No,No
157,Mr.,R,Young,25,Leinster (Other),Casual,Finance,1.78,5,37415.71,34222.62,7143.27,0.190916329,No,No
158,Mr.,C,James,37,Dublin,Employed,Construction,8.05,2,40753.18,36344.99,8013.45,0.196633735,Yes,No
159,Mr.,A,Barrett,28,,Casual,Finance,3.79,5,46873.15,41982.32,10324.75,0.220270027,No,No
160,Mrs.,H,Bruce,31,Leinster (Other),Employed,IT,6.34,6,56307.05,47953.99,12773.14,0.22684797,No,Yes
161,Mrs.,B,Ross,40,Connacht,Casual,Public Sector,15.05,1,30745.23,28640.21,5728.04,0.186306624,,No
162,Mr.,A,MacDonald,53,Leinster (Other),Self-Employed,IT,23.58,1,24551,23053.04,4610.61,0.187797238,Yes,No
163,Mrs.,E,Morrison,35,Munster,Employed,Finance,6.59,6,28871.31,26349.12,5269.82,0.182527914,No,No
164,Mr.,C,Craig,34,Leinster (Other),Employed,Agriculture,5.18,6,34111.5,31235.73,6247.15,0.183139117,,No
165,Mrs.,E,Muir,48,Dublin,Employed,Professional,14.28,2,23454.74,20225.47,4045.09,0.172463647,Yes,No
166,Ms.,K,Cameron,33,Leinster (Other),Employed,Public Sector,8.9,1,52678.44,48321.81,12923.94,0.245336422,Yes,No
167,Ms.,L,Joyce,53,Leinster (Other),Self-Employed,Professional,22.91,5,63502.28,61529.84,18339.23,0.288796402,No,No
168,Mrs.,W,McIntyre,54,Dublin,Self-Employed,Professional,19.87,2,49630.99,47440.96,12562.79,0.253123905,,No
169,Ms.,B,Martin,49,Connacht,Self-Employed,Agriculture,23.5,2,24700.94,22132.75,4426.55,0.179205731,No,Yes
170,Mrs.,O,Collins,43,Leinster (Other),Employed,Public Sector,15.12,1,39752.71,34866.84,7407.4,0.186336982,Yes,No
171,Mrs.,S,Long,57,Dublin,Employed,Retail,20.02,2,32195.69,28013.83,5602.77,0.174022361,Yes,No
172,Ms.,H,Douglas,32,Connacht,Employed,IT,4.25,6,47836.23,43650.18,11008.57,0.230130384,No,No
173,Mr.,A,Kelly,20,Dublin,Employed,IT,1.27,7,50827.55,47741.91,12686.18,0.249592593,No,No
174,Ms.,D,McMillan,27,Leinster (Other),Self-Employed,Finance,3.83,6,45627.46,42890.85,10697.25,0.234447633,No,Yes
175,Mr.,K,Paterson,42,Dublin,Employed,Public Sector,13.02,2,52752.18,44874.79,11510.66,0.218202546,Yes,No
176,Mr.,I,Aitken,47,Connacht,Self-Employed,Professional,,2,53173.84,48469.59,12984.53,0.244190188,No,No
177,Mr.,F,Johnstone,22,Dublin,Employed,IT,1.03,6,54818.09,49737.79,13504.49,0.246350976,No,No
178,Mr.,A,Gordon,42,Munster,Self-Employed,Transport,2.06,6,43975.86,42567.97,10564.87,0.240242488,No,No
179,Ms.,G,Freeman,37,Munster,Casual,Public Sector,11.92,2,27175.93,24690.71,4938.14,0.181710065,Yes,No
180,Ms.,B,Watt,36,Dublin,Self-Employed,Construction,1.78,5,34325.16,33013.13,6647.38,0.193659112,No,No
181,Mr.,K,Macleod,41,Dublin,Employed,Public Sector,13.78,1,24872.48,21214.13,4242.83,0.170583311,Yes,No
182,Mr.,H,Simpson,28,Dublin,Casual,Finance,6.94,1,57855.81,49947.76,13590.58,0.234904325,No,No
183,Mrs.,H,Morrison,43,Connacht,Employed,Public Sector,12.48,1,21306.02,18996.55,3799.31,0.178320963,Yes,No
184,Ms.,R,Thomson,43,Leinster (Other),Casual,Public Sector,11.26,1,18736.04,16630.95,3326.19,0.177528976,Yes,No
185,Mr.,A,Graham,45,Munster,Self-Employed,Transport,,2,26843.26,25279.3,5055.86,0.188347466,No,No
186,Mrs.,A,Wright,44,Dublin,Employed,Public Sector,19.67,2,36888.83,33687.74,6923.97,0.187698282,Yes,No
187,Mr.,I,Smith,51,Munster,Self-Employed,Agriculture,21.79,2,22365.43,21021.57,4204.31,0.187982525,No,Yes
188,Mrs.,J,Baker,22,Leinster (Other),Employed,Finance,1.51,7,48592.54,45309.84,11689.03,0.240551945,No,No
189,Mrs.,H,Bruce,29,Dublin,Employed,Finance,2.38,5,51577.23,49813.59,13535.57,0.262433054,No,No
190,Mrs.,I,Giles,53,Connacht,Self-Employed,Agriculture,,2,31610.58,29214.93,5842.99,0.18484286,No,Yes
191,Mr.,D,Douglas,42,Munster,Self-Employed,Transport,1.62,8,37479.82,37271.99,8393.52,0.223947714,No,No
192,Ms.,O,Short,36,Dublin,Self-Employed,Transport,1.7,7,34910.54,30653.7,6130.74,0.175612866,No,Yes
193,Mr.,Z,Moran,47,Leinster (Other),Employed,Public Sector,21.28,2,26268.62,23795.13,4759.03,0.181167873,Yes,No
194,Mrs.,E,Holland,26,Dublin,Employed,Agriculture,1.83,3,47858.01,40895.74,9879.25,0.206428349,No,No
195,Mrs.,S,Robertson,37,Munster,Casual,Transport,1.83,7,31445.88,28024.05,5604.81,0.178236704,Yes,Yes
196,Mrs.,F,Thomson,33,Leinster (Other),Employed,Public Sector,8.61,2,47886.08,45777.46,11880.76,0.248104668,Yes,No
197,Mrs.,S,Martin,40,Munster,Employed,Public Sector,11.11,2,25303.68,23131.41,4626.28,0.182830323,Yes,No
198,Ms.,N,King,45,,Self-Employed,Transport,3.08,8,24541.54,22757.71,4551.54,0.185462689,No,Yes
199,Mr.,M,Hamilton,52,Dublin,Employed,Public Sector,24.59,2,38382.68,34392.79,7213.04,0.187924345,Yes,No
200,Mr.,A,Bradshaw,22,Munster,Self-Employed,IT,1.86,2,71023.32,63390.3,19102.02,0.268954197,No,No
201,Mr.,S,O'Sullivan,37,,Self-Employed,Public Sector,,2,47702.55,44479.03,11348.4,0.237899232,No,No
202,Mr.,N,Richards,38,Dublin,Self-Employed,Transport,1.29,7,40013.53,38429.23,8867.98,0.221624536,No,Yes
203,Ms.,M,Mackenzie,24,Dublin,Employed,IT,1.98,4,58263.42,55925.53,16041.47,0.275326611,,No
204,Mrs.,K,Leonard,50,Dublin,Self-Employed,Professional,,2,46911.06,44818.02,11487.39,0.244875942,No,No
205,Mr.,A,Butler,31,Munster,Casual,Finance,,4,50464.51,47440.63,12562.66,0.248940493,No,No
206,Mr.,H,Mitchell,27,Dublin,Employed,Finance,3.19,7,64217.24,56462.97,16261.82,0.253231375,No,No
207,Mrs.,E,Ahmed,37,Munster,Employed,Finance,,7,38611.03,36539,8092.99,0.209603059,No,No
208,Ms.,E,Murray,33,Munster,Casual,Finance,5.7,4,53951.26,48509.94,13001.08,0.240978246,No,No
209,Mr.,J,Storey,45,Leinster (Other),Employed,Transport,,2,26150.14,24220.69,4844.14,0.185243368,Yes,No
210,Ms.,K,Bell,43,Dublin,Self-Employed,Agriculture,20.08,2,39827.36,36948.25,8260.78,0.207414702,No,Yes
211,Mr.,L,Kennedy,42,Dublin,Employed,Public Sector,11.89,2,66533.87,63043.67,18959.9,0.284966138,Yes,No
212,Mrs.,E,Webster,34,Munster,Casual,Retail,7.97,2,47097.96,42911.43,10705.69,0.227306873,Yes,No
213,Mr.,G,Stone,46,Munster,Self-Employed,Agriculture,21.57,2,66073.58,57434.8,16660.27,0.252147227,No,Yes
214,Ms.,Z,Wallace,40,Dublin,Employed,Retail,,2,68395.92,63427.78,19117.39,0.279510678,Yes,No
215,Mr.,S,Matthews,52,Dublin,Self-Employed,Agriculture,24.54,3,45875.8,43111.47,10787.7,0.235150123,No,Yes
216,Mrs.,A,McIntyre,24,Dublin,Employed,IT,1.51,4,49042.27,42498.97,10536.58,0.214846907,No,No
217,Mr.,S,Sykes,25,Munster,Employed,Finance,4.03,5,30961.73,27415.85,5483.17,0.177095078,No,No
218,Mr.,N,Paterson,26,Munster,Employed,Agriculture,3.48,3,34990.19,31519.25,6303.85,0.180160496,No,No
219,Ms.,K,Kerr,34,Dublin,Employed,Agriculture,4.53,7,52487.08,50867.42,13967.64,0.266115776,No,No
220,Ms.,A,Murphy,43,Dublin,Self-Employed,Agriculture,4.01,13,57310.82,52248.02,14533.69,0.253594173,No,Yes
